134;jnicklas;Gothenburg, Sweden;710;110;{'Clojure': 2084, 'Shell': 1280, 'HTML': 40378, 'JavaScript': 20601, 'CoffeeScript': 669, 'Logos': 390, 'Makefile': 1123, 'Cucumber': 1026, 'Rust': 96397, 'VimL': 117921, 'Ruby': 1301577, 'Assembly': 5400, 'C': 22966}
135;richcollins;San Francisco;36;22;{'Ruby': 2746, 'JavaScript': 268199}
136;simonjefford;Oxford, UK;17;57;{'Clojure': 1897, 'Shell': 10840, 'CSS': 14981, 'HTML': 1592, 'JavaScript': 196342, 'VimL': 936232, 'Go': 732465, 'Emacs Lisp': 1782015, 'Handlebars': 346, 'Ruby': 79292, 'ASP': 21178, 'C#': 36062, 'C': 3739}
137;josh;San Francisco, CA;1681;47;{'Clojure': 600, 'Shell': 45964, 'ApacheConf': 305, 'HTML': 12016, 'JavaScript': 10873868, 'CoffeeScript': 137910, 'Groff': 2049, 'Makefile': 1399, 'Swift': 26810, 'Go': 1780, 'Emacs Lisp': 5233, 'VimL': 631, 'Ruby': 82781, 'C': 305866}
138;stevedekorte;San Francisco;487;13;{'Python': 3675, 'Shell': 1502, 'CSS': 1816, 'Groff': 3034, 'HTML': 451503, 'Lua': 132790, 'JavaScript': 237919, 'Batchfile': 980, 'CMake': 177798, 'Emacs Lisp': 16029, 'Io': 1881621, 'Awk': 8675, 'Ragel in Ruby Host': 5841, 'Objective-C': 340137, 'VimL': 3980, 'Makefile': 25171, 'Ruby': 938, 'C++': 62906, 'M4': 81308, 'Assembly': 67026, 'C': 5988349}
139;chneukirchen;Munich, Germany;520;74;{'Shell': 576619, 'CSS': 1149, 'Groff': 170781, 'Awk': 846, 'PHP': 1915, 'JavaScript': 334726, 'Haskell': 753, 'R': 943, 'PostScript': 85076, 'Go': 2694, 'Racket': 386, 'VimL': 261, 'Ruby': 411147, 'C++': 193086, 'Python': 15001, 'Assembly': 149, 'C': 28517090, 'Yacc': 12014, 'Perl6': 6901, 'D': 1199, 'HTML': 71684, 'Perl': 331542, 'Rebol': 559, 'Emacs Lisp': 15299, 'Makefile': 118614, 'Objective-C': 9488, 'Prolog': 266, 'Stata': 172}
140;cheapRoc;Philadelphia, PA;25;31;{'Shell': 18586, 'CSS': 1867, 'Groff': 3152, 'Awk': 500, 'JavaScript': 9407, 'TeX': 3118, 'HTML': 23730, 'Go': 892, 'NewLisp': 690, 'Emacs Lisp': 5870630, 'Makefile': 4252, 'Ruby': 52591, 'Common Lisp': 1686334, 'Scheme': 130108}
141;technomancy;Mae Sot, Thailand;1391;200;{'Clojure': 812521, 'Shell': 51871, 'CSS': 49999, 'JavaScript': 103751, 'TeX': 20654, 'Makefile': 3580, 'Java': 10690, 'Racket': 205501, 'Ruby': 341961, 'C++': 17015, 'F#': 2357, 'Mirah': 2707, 'C': 130721, 'OCaml': 28353, 'Batchfile': 13538, 'HTML': 12136, 'Scala': 102, 'Forth': 1618, 'Lua': 715024, 'Erlang': 6118, 'Objective-C': 667, 'Emacs Lisp': 636007, 'KiCad': 243270, 'Perl': 26468, 'Scheme': 12983}
142;kenphused;Orlando, FL;5;1;{}
143;rubyist;Ohio;252;63;{'Brainfuck': 78, 'Shell': 1173, 'CSS': 37411, 'JavaScript': 2146169, 'CoffeeScript': 21593, 'Logos': 78, 'Verilog': 42, 'Go': 176491, 'Emacs Lisp': 42166, 'Ruby': 143570, 'Objective-C': 62725, 'C++': 7954, 'Python': 1107, 'Arduino': 4488, 'C': 29897}
